RK,NAME,TEAM,POS,GMS,PASSING_YDS,PASSING_TD,INT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,REC_YDS,REC_TD,FUM LST,PPG,FPTS
239,Jordan Thomas,HOU,TE,16,0,0,0,0,0,20,215,4,0,4.1,65.5
240,Tyler Higbee,LAR,TE,16,0,0,0,0,0,24,292,2,0,4.1,65.2
241,Jonnu Smith PUP,TEN,TE,13,0,0,0,0,0,20,258,3,0,4.9,63.8
242,Chase Edmonds,ARI,RB,16,0,0,0,208,2,20,103,0,0,3.9,63.1
243,Keke Coutee Q,HOU,WR,6,0,0,0,0,0,28,287,1,0,10.4,62.7
244,Geronimo Allison,GB,WR,5,0,0,0,0,0,20,303,2,0,12.5,62.3
245,Breshad Perriman,CLE,WR,10,0,0,0,2,0,16,340,2,0,6.2,62.2
246,Jordan Matthews,PHI,WR,14,0,0,0,0,0,20,300,2,0,4.4,62
247,Kapri Bibbs,GB,RB,12,0,0,0,103,3,16,115,1,0,5.2,61.8
248,Allen Hurns,DAL,WR,16,0,0,0,0,0,20,295,2,0,3.8,61.5
249,Justin Jackson,LAC,RB,9,0,0,0,206,2,15,135,0,0,6.8,61.1
250,Darren Sproles,PHI,RB,6,0,0,0,120,1,15,160,2,0,10.2,61
251,Devante Parker,MIA,WR,11,0,0,0,0,0,24,309,1,0,5.5,60.9
252,Jaron Brown,SEA,WR,15,0,0,0,0,0,14,166,5,0,4,60.6
253,Jack Doyle P,IND,TE,6,0,0,0,0,0,26,245,2,1,10.1,60.5
254,Bilal Powell,NYJ,RB,7,0,0,0,343,0,11,110,1,1,8.6,60.3
254,Jakeem Grant,MIA,WR,10,0,0,0,5,0,21,268,2,0,6,60.3
256,Tim Patrick,DEN,WR,16,0,0,0,17,0,23,315,1,1,3.8,60.2
256,Rhett Ellison,NYG,TE,14,0,0,0,0,0,25,272,1,0,4.3,60.2
258,Jordan Wilkins,IND,RB,16,0,0,0,336,1,16,85,0,2,3.8,60.1
259,Bruce Ellington,DET,WR,7,0,0,0,2,0,31,224,1,0,8.5,59.6
260,Maurice Harris Q,WAS,WR,12,0,0,0,10,0,28,304,0,0,5,59.4
261,Paul Richardson,WAS,WR,7,0,0,0,9,0,20,262,2,0,8.4,59.1
262,Pierre Garcon,SF,WR,8,0,0,0,0,0,24,286,1,0,7.3,58.6
263,Zach Zenner,DET,RB,8,0,0,0,265,3,7,56,0,0,7.1,57.1
264,Geoff Swaim,DAL,TE,9,0,0,0,0,0,26,242,1,0,6.2,56.2
265,Jason Croom,BUF,TE,15,0,0,0,0,1,22,259,1,2,3.7,55.9
266,Trent Taylor O,SF,WR,14,0,0,0,0,0,26,215,1,0,4,55.5
267,Matt LaCosse Q,DEN,TE,15,0,0,0,0,0,24,250,1,0,3.7,55
268,Ryan Griffin,HOU,TE,14,0,0,0,0,0,24,305,0,0,3.9,54.5
269,Kenneth Dixon,BAL,RB,6,0,0,0,333,2,6,51,0,1,9.1,54.4
270,Equanimeous St. BrownQ,GB,WR,12,0,0,0,5,0,21,328,0,0,4.5,54.3
271,Levine Toilolo,DET,TE,16,0,0,0,0,0,21,263,1,0,3.3,53.3
272,Terrelle Pryor,BUF,WR,8,0,0,0,-1,0,16,252,2,0,6.6,53.1
273,Ted Ginn,NO,WR,5,0,0,0,26,0,17,209,2,1,10.5,52.5
273,Isaiah McKenzie,BUF,WR,8,0,0,0,66,2,18,179,0,1,6.6,52.5
275,Torrey Smith,CAR,WR,11,0,0,0,0,0,17,190,2,0,4.5,50
275,TJ Jones,DET,WR,15,0,0,0,0,0,19,190,2,0,3.3,50
277,Rex Burkhead,NE,RB,8,0,0,0,186,0,14,131,1,1,6.2,49.7
278,Josh Johnson,WAS,QB,4,590,3,4,120,1,0,0,0,0,12.4,49.6
279,Trenton Cannon,NYJ,RB,16,0,0,0,113,1,17,144,0,0,3,48.7
280,Jimmy Garoppolo P,SF,QB,3,718,5,3,33,0,0,0,0,0,16,48.02
281,Anthony Firkser,TEN,TE,10,0,0,0,0,0,19,225,1,0,4.8,47.5
282,Demetrius Harris,KC,TE,15,0,0,0,0,0,12,164,3,0,3.1,46.4
283,Chris Moore,BAL,WR,16,0,0,0,17,0,19,196,1,0,2.9,46.3
284,Virgil Green,LAC,TE,16,0,0,0,0,0,19,210,1,0,2.9,46
284,Trent Sherfield,ARI,WR,13,0,0,0,0,0,19,210,1,0,3.5,46
